L,rate
1.15,1542396.5347666107
1.16,1541674.5727938318
1.17,1540952.9440221125
1.18,1540231.6482980428
1.19,1539510.6854682881
1.2,1538790.055379582
1.21,1538069.757878729
1.22,1537349.7928126028
1.23,1536630.1600281498
1.24,1535910.8593723862
1.25,1535191.8906923987
1.26,1534473.2538353417
1.27,1533754.948648446
1.28,1533036.974979006
1.29,1532319.3326743918
1.3,1531602.021582039
1.31,1530885.0415494582
1.32,1530168.392424228
1.33,1529452.0740539941
1.34,1528736.0862864796
1.35,1528020.428969471
1.36,1527305.1019508266
1.37,1526590.1050784774
1.38,1525875.4382004212
1.39,1525161.101164729
1.4,1524447.0938195367
1.41,1523733.4160130569
1.42,1523020.0675935652
1.43,1522307.0484094126
1.44,1521594.3583090163
1.45,1520881.9971408658
1.46,1520169.9647535183
1.47,1519458.2609956018
1.48,1518746.8857158145
1.49,1518035.8387629227
1.5,1517325.119985762
1.51,1516614.7292332428
1.52,1515904.6663543368
1.53,1515194.9311980922
1.54,1514485.5236136226
1.55,1513776.4434501128
1.56,1513067.690556818
1.57,1512359.2647830597
1.58,1511651.1659782315
1.59,1510943.393991796
1.6,1510235.948673282
1.61,1509528.8298722946
1.62,1508822.0374384995
1.63,1508115.5712216378
1.64,1507409.4310715173
1.65,1506703.6168380158
1.66,1505998.1283710797
1.67,1505292.9655207247
1.68,1504588.1281370337
1.69,1503883.6160701634
1.7,1503179.429170335
1.71,1502475.5672878406
1.72,1501772.0302730405
1.73,1501068.8179763642
1.74,1500365.9302483094
1.75,1499663.366939445
1.76,1498961.127900406
1.77,1498259.2129818965
1.78,1497557.6220346913
1.79,1496856.3549096324
1.8,1496155.4114576299
1.81,1495454.7915296636
1.82,1494754.4949767825
1.83,1494054.5216501022
1.84,1493354.871400809
1.85,1492655.5440801547
1.86,1491956.539539464
1.87,1491257.8576301264
1.88,1490559.498203602
1.89,1489861.4611114175
1.9,1489163.746205168
1.91,1488466.3533365193
1.92,1487769.2823572038
1.93,1487072.5331190221
1.94,1486376.1054738427
1.95,1485679.999273603
1.96,1484984.2143703094
1.97,1484288.7506160345
1.98,1483593.6078629193
1.99,1482898.7859631751
2.0,1482204.2847690783
2.01,1481510.1041329748
2.02,1480816.2439072807
2.03,1480122.703944474
2.04,1479429.4840971078
2.05,1478736.5842177987
2.06,1478044.0041592289
2.07,1477351.7437741566
2.08,1476659.8029153985
2.09,1475968.1814358477
2.1,1475276.879188457
2.11,1474585.8960262532
2.12,1473895.231802326
2.13,1473204.886369836
2.14,1472514.8595820102
2.15,1471825.1512921436
2.16,1471135.761353599
2.17,1470446.6896198045
2.18,1469757.935944259
2.19,1469069.5001805262
2.2,1468381.3821822398
2.21,1467693.5818030967
2.22,1467006.0988968653
2.23,1466318.93331738
2.24,1465632.084918542
2.25,1464945.5535543212
2.26,1464259.3390787507
2.27,1463573.4413459378
2.28,1462887.8602100487
2.29,1462202.5955253239
2.3,1461517.6471460669
2.31,1460833.0149266499
2.32,1460148.6987215106
2.33,1459464.6983851572
2.34,1458781.01377216
2.35,1458097.6447371596
2.36,1457414.5911348634
2.37,1456731.8528200437
2.38,1456049.429647542
2.39,1455367.321472265
2.4,1454685.528149187
2.41,1454004.0495333495
2.42,1453322.8854798584
2.43,1452642.0358438892
2.44,1451961.5004806824
2.45,1451281.2792455473
2.46,1450601.3719938549
2.47,1449921.7785810495
2.48,1449242.4988626365
2.49,1448563.5326941893
